text	gold	text2	sys	cf_sents
Le théâtre représente un bocage dont les arbres sont couverts de frimas et de glaçons. On voit dans le lointain plusieurs cabanes de Sauvages dont les toits sont couverts de neige. Parmi ces cabanes, on en remarque une plus spacieuse et moins éloignée que les autres.	11	Le théâtre représente un bocage dont les arbres sont couverts de frimas et de glaçons. On voit dans le lointain plusieurs cabanes de Sauvages dont les toits sont couverts de neige. Parmi ces cabanes, on en remarque une plus spacieuse et moins éloignée que les autres.	11	0
Elle jette la rose par terre.	10	Elle jette la rose par terre.	1	0
Il met les tablettes sur le banc.	10	Il met les tablettes sur le banc.	10	0
Que Clarimand lit haut.	0	Que Clarimand lit haut.	8	0
Faisant sonner la bourse.	9	Faisant sonner la bourse.	0	0
À Casimir.	12	À Casimir.	12	0
AIR. Lulli n'est plus à l'Opéra.	8	AIR. Lulli n'est plus à l'Opéra.	9	0
À Monsieur le Bailli.	12	À Monsieur le Bailli.	12	0
La suite de Bacchus danse.	3	La suite de Bacchus danse.	8	0
À Félicio.	12	À Félicio.	12	0
Elle regarde du côté de la porte.	0	Elle regarde du côté de la porte.	7	0
AIR : Ton, humeur est Catherine.	8	AIR : Ton, humeur est Catherine.	2	0
Au mendiant.	12	Au mendiant.	2	0
Il quitte le balcon.	11	Il quitte le balcon.	5	0
À Benvoglio.	12	À Benvoglio.	12	0
Elle sort suivie des guerriers et des femmes sauvages.	5	Elle sort suivie des guerriers et des femmes sauvages.	5	0
Il se donne un coup.	1	Il se donne un coup.	1	0
DU COQ A L'ASNE.	8	DU COQ A L'ASNE.	0	0
Il lui présente une fressure de veau pendue au bout d'un bâton.	0	Il lui présente une fressure de veau pendue au bout d'un bâton.	0	0
AIR : tout comme il vous plaira	8	AIR : tout comme il vous plaira	2	0
AIR : Sans cesse à la Ville, à ta Cour.	8	AIR : Sans cesse à la Ville, à ta Cour.	9	0
Il rentre dans le palais.	5	Il rentre dans le palais.	4	0
Silence d'un instant.	3	Silence d'un instant.	3	0
Il est resté assis sur le remblai.	0	Il est resté assis sur le remblai.	0	0
Il s'en va.	7	Il s'en va.	5	0
Il les regarde toujours.	0	Il les regarde toujours.	6	0
Il lui présente un bouquet.	10	Il lui présente un bouquet.	6	0
Scanderberg sort.	5	Scanderberg sort.	7	0
Il lève sa canne.	1	Il lève sa canne.	0	0
Elle veut sortir.	5	Elle veut sortir.	7	0
Au sultan.	12	Au sultan.	12	0
Elle fait quelques pas pour sortir.	7	Elle fait quelques pas pour sortir.	5	0
On entend crier de loin Ruflaut et Jeannot.	3	On entend crier de loin Ruflaut et Jeannot.	9	0
Il tire un pistolet qui rate.	1	Il tire un pistolet qui rate.	1	0
La Plume sort ; Madame Savon, et Thériaque entrent dans l'autre chambre.	5	La Plume sort ; Madame Savon, et Thériaque entrent dans l'autre chambre.	5	0
Air 211 : De Monsieur Gillier.	8	Air 211 : De Monsieur Gillier.	2	0
Elle remonte.	5	Elle remonte.	7	0
Cette scène est très divertissante, et jouée parfaitement par le Pédant, qui devient amoureux à son tour de Colombine. D'abord il lui donne un mouchoir pour cacher sa gorge ; mais incontinent il se laisse entraîner au pouvoir de l'amour. L'écolier survient qui voit le Pédant embrasser Colombine : il lui rend avec usure les coups de bâton ; ce qui finit la scène.	9	Cette scène est très divertissante, et jouée parfaitement par le Pédant, qui devient amoureux à son tour de Colombine. D'abord il lui donne un mouchoir pour cacher sa gorge ; mais incontinent il se laisse entraîner au pouvoir de l'amour. L'écolier survient qui voit le Pédant embrasser Colombine : il lui rend avec usure les coups de bâton ; ce qui finit la scène.	9	0
Elle sort avec vivacité les Paysans et les Paysannes la suivent.	5	Elle sort avec vivacité les Paysans et les Paysannes la suivent.	5	0
Elle recommence le combat.	1	Elle recommence le combat.	1	0
À Lafleur.	12	À Lafleur.	12	0
LETTRE DU GRAND VIZIR.	8	LETTRE DU GRAND VIZIR.	10	0
À Hurlubrelu.	12	À Hurlubrelu.	4	0
Les Néréides se plongent aussi dans le mer.	5	Les Néréides se plongent aussi dans le mer.	0	0
Ils pleurent.	3	Ils pleurent.	0	0
Au même instant, le jeune sauvage, armé de son arc et de ses flèches, sort de la maison de Monsieur de Kerkabon, et complète le tableau, en s'arrêtant avec admiration à quelque distance du groupe villageois, L'aimable et modeste Kerkabon se dérobe à cet hommage, pour courir au devant de l'Ingénu, qui lui baise la main avec respect, et prie le ciel d'exaucer ses voeux reconnaissants en faveur de sa bienfaitrice. Elle lui témoigne de nouveau le plus vif intérêt, et le voyant disposé à partir pour la chasse, l'invite à hâter son retour ; il le promet, et après avoir jeté un regard expressif sur l'habitation de mademoiselle de Saint-Yves, après avoir porté la main sur son coeur et poussé un profond soupir, il gagne le sommet de la troisième colline avec rapidité.	9	Au même instant, le jeune sauvage, armé de son arc et de ses flèches, sort de la maison de Monsieur de Kerkabon, et complète le tableau, en s'arrêtant avec admiration à quelque distance du groupe villageois, L'aimable et modeste Kerkabon se dérobe à cet hommage, pour courir au devant de l'Ingénu, qui lui baise la main avec respect, et prie le ciel d'exaucer ses voeux reconnaissants en faveur de sa bienfaitrice. Elle lui témoigne de nouveau le plus vif intérêt, et le voyant disposé à partir pour la chasse, l'invite à hâter son retour ; il le promet, et après avoir jeté un regard expressif sur l'habitation de mademoiselle de Saint-Yves, après avoir porté la main sur son coeur et poussé un profond soupir, il gagne le sommet de la troisième colline avec rapidité.	9	0
Les Turcs répètent les mêmes vers, et lui donnent plusieurs coups de bâton en cadence.	1	Les Turcs répètent les mêmes vers, et lui donnent plusieurs coups de bâton en cadence.	1	0
Symphonie.	8	Symphonie.	8	0
Aux Couplets.	12	Aux Couplets.	8	0
"CHANSON, sur le chant de ""Las qui hâtera le temps""."	8	"CHANSON, sur le chant de ""Las qui hâtera le temps""."	8	0
Staphyla rentre.	5	Staphyla rentre.	4	0
Air : Tout roule aujourd'hui.	8	Air : Tout roule aujourd'hui.	2	0
Il prend son chapeau.	10	Il prend son chapeau.	0	0
Elle se lève pour sortir.	0	Elle se lève pour sortir.	5	0
À Nour.	12	À Nour.	12	0
Nicaise finit une chanson à une paysanne qui le fuit.	3	Nicaise finit une chanson à une paysanne qui le fuit.	8	0
Au jeune Arzémon.	12	Au jeune Arzémon.	12	0
Joséphine et Marthe sortent.	5	Joséphine et Marthe sortent.	5	0
Frontin s'en va.	7	Frontin s'en va.	5	0
En montrant la ville.	0	En montrant la ville.	11	0
Alfonce et Marc Antoine les frappent chacun le sien.	1	Alfonce et Marc Antoine les frappent chacun le sien.	1	0
Il frappe trois fois.	0	Il frappe trois fois.	0	0
Tersky paraît avec Isolan, Buttler et d'autres officiers.	4	Tersky paraît avec Isolan, Buttler et d'autres officiers.	4	0
Apercevant Octave.	0	Apercevant Octave.	6	0
S'exaltant.	3	S'exaltant.	0	0
Il lui donne le billet de Julie.	10	Il lui donne le billet de Julie.	3	0
Ouvrant une autre lettre.	0	Ouvrant une autre lettre.	10	0
Le théâtre représente la Salle de L'Opéra Comique.	11	Le théâtre représente la Salle de L'Opéra Comique.	11	0
Ils sortent tous, à l'exception de Monsieur Léger et de Madame Lanoue.	5	Ils sortent tous, à l'exception de Monsieur Léger et de Madame Lanoue.	5	0
Il porte la fiole à sa bouche.	0	Il porte la fiole à sa bouche.	0	0
Elle ôte sa main.	7	Elle ôte sa main.	7	0
Il referme l'oeil—de—boeuf.	10	Il referme l'oeil—de—boeuf.	0	0
À Licandre et à Êliante.	12	À Licandre et à Êliante.	12	0
Il rentre. Le marchand se mêle aux curieux. - Passe un bourgeois avec sa femme.	4	Il rentre. Le marchand se mêle aux curieux. - Passe un bourgeois avec sa femme.	4	0
Le mauvais Ange disparaît.	5	Le mauvais Ange disparaît.	5	0
Avec humeur.	3	Avec humeur.	3	0
Ils se battent.	1	Ils se battent.	1	0
Le théâtre s'ouvre à l'agréable bruit de quantité d'instruments, et d'abord il offre aux yeux une vaste mer, bordée de chaque côté de quatre grands rochers, dont le sommet porte chacun un Fleuve, accoudé sur les marques de ces sortes de déités. Au pied de ces rochers sont douze Tritons de chaque côté, et dans le milieu de la mer quatre Amours montés sur des dauphins, et derrière eux le dieu Éole, élevé au-dessus des ondes sur un petit nuage. Éole commande aux vents de se retirer, et, tandis que les Amours, les Tritons, et les Fleuves lui répondent, la mer se calme, et du milieu des ondes on voit s'élever une île. Huit Pêcheurs sortent du fond de la mer avec des nacres de perles et des branches de corail, et, après une danse agréable, vont se placer chacun sur un rocher au-dessous d'un Fleuve. Le choeur de la musique annonce la venue de Neptune, et, tandis que ce dieu danse avec sa suite, les Pêcheurs, les Tritons et les Fleuves accompagnent ses pas de gestes différents et de bruit de conques de perles. Tout ce spectacle est une magnifique galanterie, dont l'un des princes régale sur la mer la promenade des princesses.	11	Le théâtre s'ouvre à l'agréable bruit de quantité d'instruments, et d'abord il offre aux yeux une vaste mer, bordée de chaque côté de quatre grands rochers, dont le sommet porte chacun un Fleuve, accoudé sur les marques de ces sortes de déités. Au pied de ces rochers sont douze Tritons de chaque côté, et dans le milieu de la mer quatre Amours montés sur des dauphins, et derrière eux le dieu Éole, élevé au-dessus des ondes sur un petit nuage. Éole commande aux vents de se retirer, et, tandis que les Amours, les Tritons, et les Fleuves lui répondent, la mer se calme, et du milieu des ondes on voit s'élever une île. Huit Pêcheurs sortent du fond de la mer avec des nacres de perles et des branches de corail, et, après une danse agréable, vont se placer chacun sur un rocher au-dessous d'un Fleuve. Le choeur de la musique annonce la venue de Neptune, et, tandis que ce dieu danse avec sa suite, les Pêcheurs, les Tritons et les Fleuves accompagnent ses pas de gestes différents et de bruit de conques de perles. Tout ce spectacle est une magnifique galanterie, dont l'un des princes régale sur la mer la promenade des princesses.	11	0
Elle se place devant lui.	11	Elle se place devant lui.	7	0
Elle le voit.	0	Elle le voit.	6	0
AIR. Nous autres bons villageois.	8	AIR. Nous autres bons villageois.	2	0
Elle s'approche de la cheminée.	11	Elle s'approche de la cheminée.	7	0
Dorante lit la lettre.	0	Dorante lit la lettre.	0	0
La scène représente sur le devant un lieu champêtre, et dans l'enfoncement un rocher percé à jour, à travers duquel on voit la mer en éloignement. Flore paraît au milieu du théâtre, accompagné de Vertumne Dieu des Arbres et des Fruits, et de Palamon Dieu des Eaux. Chacun de ces Dieux conduit une Troupe de Divinités ; l'un mène à sa suite des Dryades et des Sylvains ; et l'autre des Dieux, des Fleuves et des Naïades, Flore chante ce récit pour inviter Vénus à descendre en Terre.	11	La scène représente sur le devant un lieu champêtre, et dans l'enfoncement un rocher percé à jour, à travers duquel on voit la mer en éloignement. Flore paraît au milieu du théâtre, accompagné de Vertumne Dieu des Arbres et des Fruits, et de Palamon Dieu des Eaux. Chacun de ces Dieux conduit une Troupe de Divinités ; l'un mène à sa suite des Dryades et des Sylvains ; et l'autre des Dieux, des Fleuves et des Naïades, Flore chante ce récit pour inviter Vénus à descendre en Terre.	11	0
Il fait ses efforts pour l'ouvrir, mais inutilement.	0	Il fait ses efforts pour l'ouvrir, mais inutilement.	7	0
AIR. Nous autres bons Villageois.	8	AIR. Nous autres bons Villageois.	2	0
Même air que le couplet précédent.	8	Même air que le couplet précédent.	8	0
Ici une Scène muette de Falaise qui voit le Chevalier avec Angélique, et le soupçonne. Il regarde ensuite Nérine, et feint d'en être charmé ; après quoi il se retire d'un côté et le Chevalier d'un autre.	9	Ici une Scène muette de Falaise qui voit le Chevalier avec Angélique, et le soupçonne. Il regarde ensuite Nérine, et feint d'en être charmé ; après quoi il se retire d'un côté et le Chevalier d'un autre.	9	0
Lascy s'en va.	5	Lascy s'en va.	5	0
La Scène représente les Charniers des Innocents. À droite est la boutique de Madame de L'Aiguille, Marchande Lingère, et à gauche, un tonneau qui sert de Bureau à Monsieur Discret, écrivain.	11	La Scène représente les Charniers des Innocents. À droite est la boutique de Madame de L'Aiguille, Marchande Lingère, et à gauche, un tonneau qui sert de Bureau à Monsieur Discret, écrivain.	11	0
À Philoxène.	12	À Philoxène.	12	0
Air : Dans quel canton est l'Huronie.	8	Air : Dans quel canton est l'Huronie.	2	0
AIR : Qu'a du vin.	8	AIR : Qu'a du vin.	3	0
Il dit à part.	2	Il dit à part.	2	0
Les Éthiopiens sortent.	5	Les Éthiopiens sortent.	5	0
À Éricie.	12	À Éricie.	12	0
Il sort par la droite. La scène demeure vide.	5	Il sort par la droite. La scène demeure vide.	5	0
Bis des deux vers.	8	Bis des deux vers.	7	0
Il fait six pas.	7	Il fait six pas.	7	0
Il l'aide à déposer le plateau.	10	Il l'aide à déposer le plateau.	6	0
À Mademoiselle Beaulieu.	12	À Mademoiselle Beaulieu.	12	0
Il montre ses yeux pochés.	0	Il montre ses yeux pochés.	0	0
Air : Quand je tiens de ce jus d'Octobre.	8	Air : Quand je tiens de ce jus d'Octobre.	3	0
Air : Moi qui veux m'instruire.	8	Air : Moi qui veux m'instruire.	2	0
Elle regarde les fleurs.	0	Elle regarde les fleurs.	0	0
AIR : Du Grand Condé.	8	AIR : Du Grand Condé.	4	0
Ils sortent de la caverne.	4	Ils sortent de la caverne.	5	0
AIR : Les filles de Nanterre,	8	AIR : Les filles de Nanterre,	8	0
Ils écoutent.	0	Ils écoutent.	6	0
À Guillaume.	12	À Guillaume.	12	0
SONNET.	8	SONNET.	3	0
Timagène rentre sur le théâtre.	4	Timagène rentre sur le théâtre.	4	0
Don César reçoit la main d'Isabelle.	6	Don César reçoit la main d'Isabelle.	6	0
Ils s'attablent.	0	Ils s'attablent.	6	0
AIR. Non, je ne serai pas.	8	AIR. Non, je ne serai pas.	2	0
Air : La béquille du Père Barnaba.	8	Air : La béquille du Père Barnaba.	10	0
Au Facteur en le payant.	12	Au Facteur en le payant.	3	0
Elles s'asseyent.	0	Elles s'asseyent.	0	0
Le premier vers, à part.	2	Le premier vers, à part.	2	0
Mondor embrasse tendrement sa femme.	6	Mondor embrasse tendrement sa femme.	6	0
Marche de toutes sortes de Personnages de l'ancienne Comédie Française et Italienne.	8	Marche de toutes sortes de Personnages de l'ancienne Comédie Française et Italienne.	4	0
Julie rentre du côté de la maison.	5	Julie rentre du côté de la maison.	4	0
Même décoration que le précédent.	11	Même décoration que le précédent.	11	0
Et malgré lui, elle lui replace le bras dans l'écharpe, après en avoir ré-assujetti rapidement le pansement. René, après la première révolte, se laisse faire.	6	Et malgré lui, elle lui replace le bras dans l'écharpe, après en avoir ré-assujetti rapidement le pansement. René, après la première révolte, se laisse faire.	6	0
En s'en allant.	5	En s'en allant.	5	0
En prison.	11	En prison.	11	0
Le Théâtre change, et représente le Palais de PLUTON.	11	Le Théâtre change, et représente le Palais de PLUTON.	11	0
D'un ton décidé.	3	D'un ton décidé.	3	0
En lui donnant la main droite.	6	En lui donnant la main droite.	6	0
Judith entre.	4	Judith entre.	4	0
Au Moineau.	12	Au Moineau.	12	0
Tous se lèvent de table.	0	Tous se lèvent de table.	7	0
Il lui montrera alors sa main.	0	Il lui montrera alors sa main.	6	0
Il lui remet en main son roman.	10	Il lui remet en main son roman.	3	0
Valentin sort.	5	Valentin sort.	5	0
Avec un air grave	3	Avec un air grave	3	0
Almaviva et Léon la prennent sous les bras ; ils sortent tous.	5	Almaviva et Léon la prennent sous les bras ; ils sortent tous.	5	0
Air : De la béquille.	8	Air : De la béquille.	10	0
Il la choque un peu.	6	Il la choque un peu.	1	0
Ils la quittent.	5	Ils la quittent.	5	0
Ici l'actrice chante un morceau à son choix.	3	Ici l'actrice chante un morceau à son choix.	8	0
Après que Neptune eut été remercié par le sieur de Poutrincourt de ses offres au bieN de la France, les sauvages le furent semblablement de leur bonne volonté et dévotion, et incités de venir au Fort-Royal prendre du caracona. À l'instant la troupe de Neptune chante en musique à quatre parties ce qui s'enfuit.	9	Après que Neptune eut été remercié par le sieur de Poutrincourt de ses offres au bieN de la France, les sauvages le furent semblablement de leur bonne volonté et dévotion, et incités de venir au Fort-Royal prendre du caracona. À l'instant la troupe de Neptune chante en musique à quatre parties ce qui s'enfuit.	9	0
Montrant Cicéron.	0	Montrant Cicéron.	6	0
Les chasseurs se retirent.	5	Les chasseurs se retirent.	5	0
"Le maître d'armes, lui pousse deux ou trois bottes, en lui disant : ""En garde."""	1	"Le maître d'armes, lui pousse deux ou trois bottes, en lui disant : ""En garde."""	6	0
Ici Lisette en approchant de l'Olive qu'elle ne voit point, étend sa main, et le prend par le collet, et dans le même temps Angélique rencontre la main de Dorante, qu'elle prend.	9	Ici Lisette en approchant de l'Olive qu'elle ne voit point, étend sa main, et le prend par le collet, et dans le même temps Angélique rencontre la main de Dorante, qu'elle prend.	6	0
Parthénice vient savoir finement en quel état est Floridan auprès de Célinde.	4	Parthénice vient savoir finement en quel état est Floridan auprès de Célinde.	4	0
Il la reprend.	10	Il la reprend.	6	0
Au grand bramine.	12	Au grand bramine.	2	0
AIR : O gué lan la, lanlaire.	8	AIR : O gué lan la, lanlaire.	8	0
À Coucy.	12	À Coucy.	11	0
Air : Faut-il qu'une fi faible plante.	8	Air : Faut-il qu'une fi faible plante.	0	0
On entend chanter dans la rue.	3	On entend chanter dans la rue.	8	0
Air : Fanfare de Saint-Cloud.	8	Air : Fanfare de Saint-Cloud.	8	0
Damis, se lève.	0	Damis, se lève.	7	0
À un voisin, qui somnole dans l'angle du compartiment.	12	À un voisin, qui somnole dans l'angle du compartiment.	6	0
Clairville quitte Rosalie. Il est comme un fou. Il va, il vient, il s'arrête. Il soupire de douleur, de fureur. Il s'appuie les coudes sur le dos d'un fauteuil, la tête sur ses mains, et les poings dans les yeux. Le silence dure un moment. Enfin il dit :	9	Clairville quitte Rosalie. Il est comme un fou. Il va, il vient, il s'arrête. Il soupire de douleur, de fureur. Il s'appuie les coudes sur le dos d'un fauteuil, la tête sur ses mains, et les poings dans les yeux. Le silence dure un moment. Enfin il dit :	7	0
À Philotas.	12	À Philotas.	12	0
Montrant l'ilote, qui salue modestement.	0	Montrant l'ilote, qui salue modestement.	0	0
Il découvre son estomac.	0	Il découvre son estomac.	0	0
Toutes les jeunes filles rient, à l'exception de Justine.	3	Toutes les jeunes filles rient, à l'exception de Justine.	6	0
Il lui rend ses armes.	10	Il lui rend ses armes.	6	0
Le regardant.	0	Le regardant.	6	0
Le Laquais découvre une robe garnie de fleurs.	0	Le Laquais découvre une robe garnie de fleurs.	10	0
Air. Menuet de Monsieur Grandval.	8	Air. Menuet de Monsieur Grandval.	8	0
Cherchant une idée.	0	Cherchant une idée.	0	0
Au marquis.	12	Au marquis.	12	0
AIR du vaudeville de l'Avare.	8	AIR du vaudeville de l'Avare.	8	0
AIR : J'en jurerais presque sur sa laideur.	8	AIR : J'en jurerais presque sur sa laideur.	2	0
Fredonnant.	3	Fredonnant.	8	0
Les 12 conditions sous lesquelles nous Hylas et Stelle, promettons de nous aimer à l'avenir, pat accord fait entre nous.	8	Les 12 conditions sous lesquelles nous Hylas et Stelle, promettons de nous aimer à l'avenir, pat accord fait entre nous.	9	0
Tout étant disposé, et le curé étant arrivé dans une calèche a six chevaux qu'on avait envoyée au devant de lui, il fut conduit à son trône. Dès qu'il fut assis, l'orateur lui prononça à genoux une harangue dans le style de l'académie, pleine de louanges, d'antithèses, et de mots nouveaux. Le curé reçut tous ces éloges avec l'air d'un homme qui sait bien qu'il en mérite encore davantage ; car tout le monde n'est pas de l'humeur de notre reine***, qui hait les louanges autant qu'elle les mérite. Après la harangue, on exécuta le concert dont on vous envoie les paroles ; les choeurs allèrent à merveille, et la cérémonie finit par une grande pièce de vers poupeux, à laquelle ni les assistants, ni le curé, ni l'auteur, n'entendirent rien. Il faudrait avoir été témoin de cette fête pour en bien sentir l'agrément : les projets et les préparatifs de ces divertissements sont toujours agréables, l'exécution rarement bonne, et le récit souvent ennuyeux.	9	Tout étant disposé, et le curé étant arrivé dans une calèche a six chevaux qu'on avait envoyée au devant de lui, il fut conduit à son trône. Dès qu'il fut assis, l'orateur lui prononça à genoux une harangue dans le style de l'académie, pleine de louanges, d'antithèses, et de mots nouveaux. Le curé reçut tous ces éloges avec l'air d'un homme qui sait bien qu'il en mérite encore davantage ; car tout le monde n'est pas de l'humeur de notre reine***, qui hait les louanges autant qu'elle les mérite. Après la harangue, on exécuta le concert dont on vous envoie les paroles ; les choeurs allèrent à merveille, et la cérémonie finit par une grande pièce de vers poupeux, à laquelle ni les assistants, ni le curé, ni l'auteur, n'entendirent rien. Il faudrait avoir été témoin de cette fête pour en bien sentir l'agrément : les projets et les préparatifs de ces divertissements sont toujours agréables, l'exécution rarement bonne, et le récit souvent ennuyeux.	9	0
La symphonie vive recommence.	8	La symphonie vive recommence.	8	0
Échange des cartes.	10	Échange des cartes.	6	0
Il parle à ceux qui lui veulent aider à marcher.	12	Il parle à ceux qui lui veulent aider à marcher.	6	0
Girolamo lui présente plusieurs lettres puis va et vient dans l'appartement en préparant ce qu'il faut pour la toilette de son maître.	0	Girolamo lui présente plusieurs lettres puis va et vient dans l'appartement en préparant ce qu'il faut pour la toilette de son maître.	7	0
Il sort avec Dorante.	5	Il sort avec Dorante.	5	0
À Adario.	12	À Adario.	12	0
À Crispin.	12	À Crispin.	12	0
Montrant la lettre.	0	Montrant la lettre.	10	0
Il se retourne vers son fils et lui dit.	12	Il se retourne vers son fils et lui dit.	6	0
Arnolphe ôte le chapeau de dessus la tête d'Alain.	10	Arnolphe ôte le chapeau de dessus la tête d'Alain.	6	0
Odmar sort.	5	Odmar sort.	7	0
Air Noté, N°1.	8	Air Noté, N°1.	8	0
Air : Non je ne ferai pas, etc.	8	Air : Non je ne ferai pas, etc.	2	0
À Germeuil.	12	À Germeuil.	11	0
Le petit Befor se retire de la danse.	7	Le petit Befor se retire de la danse.	5	0
Valère frappe à la porte du logis de Climène.	0	Valère frappe à la porte du logis de Climène.	4	0
Serre-fort remplit et referme le sac.	10	Serre-fort remplit et referme le sac.	0	0
Lincoln et sa troupe sortent.	5	Lincoln et sa troupe sortent.	5	0
On se met à table.	0	On se met à table.	0	0
A I R.	8	A I R.	8	0
Air : Vaudeville de Jean Monnet.	8	Air : Vaudeville de Jean Monnet.	8	0
À Marlot.	12	À Marlot.	12	0
AIR.	8	AIR.	8	0
À Marforio.	12	À Marforio.	4	0
La comtesse se lève et va pour rentrer chez elle, le Comte l'arrête.	0	La comtesse se lève et va pour rentrer chez elle, le Comte l'arrête.	6	0
Air : La bonne aventure, ô gai ?	8	Air : La bonne aventure, ô gai ?	2	0
À Albert.	12	À Albert.	12	0
Elle sort avec Guerland par le fond.	5	Elle sort avec Guerland par le fond.	5	0
