stgdir	label	labelStr
Sainte Cécile chante.	3	delivery
Ils entrent d'un pas dégagé l'un du jardin, l'autre de la cour.	4	entrance
Entrée de jardiniers qui portent leurs corbeilles à Lucile.	4	entrance
Il entre dans la maison de Caton.	4	entrance
Roseline paraît au bout du théâtre.	4	entrance
ENTRÉE.	4	entrance
Chompré paraît.	4	entrance
II. Entrée du Flamand et de la Flamande.	4	entrance
Elle arrive par la porte de droite, et va d'abord écouter au pan de la cloison.	4	entrance
Alphée et Arethuse sortent des enfers.	4	entrance
Une tête de vieillard couronnée, à barbe ruisselante, est apparue dans l'encadrement, à la lueur d'un éclair.	4	entrance
Un médecin entre.	4	entrance
Ils entrent avec précaution.	4	entrance
Ici un page et deux dames masquées précédent Olympe avec deux flambeaux.	4	entrance
Le Comte de Salsbury entre.	4	entrance
Elle entre par le côté opposé à celui où est sortie Julie. Elle est coiffée en cheveux avec des rubans et porte une toilette élégante.	4	entrance
Illo paraît avec des soldats.	4	entrance
Nouvelle apparition.	4	entrance
Vénus et Momus paraissent sur la scène.	4	entrance
Crispin entre seul.	4	entrance
Alain rentre.	4	entrance
Elle sort avec le choeur.	5	exit
Tous sortent excepté Molière.	5	exit
Et quand ils sont partis.	5	exit
La magie se retire.	5	exit
Deux druides sortent.	5	exit
Sophar rentre dans la maison.	5	exit
Elle sort avec Carabosse.	5	exit
Oropaste sort.	5	exit
Sortie par la droite.	5	exit
Emire sort.	5	exit
Cléante sort d'un côté, et Dymas de l'autre, environ quatre vers après Cléante.	5	exit
Un Chariot sort.	5	exit
Il sort avec le Commandeur et le Comte.	5	exit
Julie sort.	5	exit
Ils sortent avec les valets et les flambeaux. Le duc précédant le roi une cire à la main.	5	exit
Killegre sort.	5	exit
Villiers disparaît.	5	exit
Ariane sort.	5	exit
Rosalie et Picard sortent.	5	exit
On donne congé au notaire.	5	exit
Elle va chercher les enfants et les amène.	6	interaction
Il lui met la main dans la poche	6	interaction
Lui prenant le pouls.	6	interaction
Il embrasse sa fille.	6	interaction
Lui baisant la bouche.	6	interaction
Le poussant du coude.	6	interaction
Les lutins veulent rebrousser et reporter Léandre dans l'Île Noire.	6	interaction
Elle prend contre lui toutes les précautions imaginables.	6	interaction
Elle prend une main de Pauline.	6	interaction
Phénice lui frappe sur l'épaule.	6	interaction
Les suivants d'Arcalaüs emmènent Corisande.	6	interaction
Elle se frotte la joue.	6	interaction
Madame La Thorillière arrive repoussant tout le monde.	6	interaction
Arnolphe lui prend la main sans qu'elle le reconnaisse.	6	interaction
Valcour pousse vivement Florval.	6	interaction
Il désigne son coeur.	6	interaction
Il l'embrasse encore.	6	interaction
Ils s'embrassent.	6	interaction
Elle prend la main de l'aîné.	6	interaction
Elle va aussi pour l'embrasser.	6	interaction
Mercure veut s'en aller.	7	movement
Ils le suivent.	7	movement
Il va vers Arons.	7	movement
Ils veulent tous s'en aller.	7	movement
Sur un signe de Berthe, les jeunes filles s'approchent d'Antoinette.	7	movement
Il s'enfuit.	7	movement
Il se tire à l'écart.	7	movement
Polidor doit avoir suivi Tirsis.	7	movement
Ils l'entourent tous ensemble.	7	movement
Elle va pour s'en aller.	7	movement
Revenant à Gourville l'aîné.	7	movement
Catherine s'avance vers François.	7	movement
Pierrot et les sauvages s'en retournent avec le Gougou.	7	movement
Il continue en marchant.	7	movement
Il se dispose à s'en aller.	7	movement
Ils s'approchent de lui.	7	movement
S'approchant de Julie et de Miss Jackson.	7	movement
Elle agit en parlant.	7	movement
Elle veut s'éloigner.	7	movement
Ils rapprochent les feuilles et lisent très vite.	7	movement
Stances.	8	music
Antistrophe VI.	8	music
Air : La rose et le bouton.	8	music
Air. Allez donc, jouez violon.	8	music
Air : Comment faire.	8	music
AIR 76. ( Ha, qui vous a, qui vous ai qui vous a. )	8	music
AIR d'Yelva.	8	music
Air : Belle Chanoinesse.	8	music
SEXTUOR.	8	music
AIR : Je veux une robe.	8	music
AIR 202 : Gorgones de Persée.	8	music
Air : Babet que t'es gentille.	8	music
AIR. Un jour le malheureux Lisandre.	8	music
Symphonie.	8	music
III COUPLET.	8	music
Air tendre.	8	music
Air : Point de bruit, etc.	8	music
AIR : Donnez, Amants, mais donnez bien.	8	music
Air : Fournissez un canal au ruisseau.	8	music
COUPLETS.	8	music
Une tempête survient.	9	narration
Le paysan veut à son tour prendre Ninette ; mais l'âne, qui s'impatiente, commence à sauter et lancer des ruades à droite et à gauche. Le paysan, pour en éviter une dans le ventre, se retourne et la reçoit dans le derrière. Ninette, qui, pendant ce débat, n'a cessé de crier Maman ! pique son âne et se sauve en disant :	9	narration
Il lui arrache sa perruque de dessus la tête. Frac est d'abord tout interdit de se trouver sans perruque ; mais il prend son parti et en lève celle de Tressant, qui métamorphose à son tour en enfant de choeur ; et il se sauve en se coiffant avec. Les bras tombent au sublime Monsieur Tressant, et Madame Lavade et le garçon de boutique étouffent de rire de voir cette tête pelée et cette figure stupidement étonnée ne pas songer seulement à se couvrir de celle qu'il vient d'ôter au tailleur, et qu'il tient encore dans sa main.	9	narration
On entend des tambours.	9	narration
Le fiacre franchit des obstacles, disperse des piétons aux épaules rondes, et les lumières, lancées comme des boules de feu, éclatent sur ses vitres et s'éteignent.	9	narration
La bouteille d'Aï achevée, la Marquise, le Chevalier, le Président, Eglante, le Baron se lèvent pour aller voir le cabinet. Ils prennent plusieurs bourgeois qui sont sur les encoignures.	9	narration
Le Théâtre représente un paysage agreste, orné de quelques maisons ; celle de Monsieur de Kerkabon est la première, à gauche ; la seconde appartient à Monsieur de Saint-Yves ; elles sont à peu de distance l'une de l'autre, et seulement séparées par quelques arbres, annonçant une avenue. Le fond du théâtre est occupé par trois collines opposées. Au dessus de la seconde, à droite du spectateur, s'élève un mur de couvent, hérissé de pointes de fer, et renfermant une espèce de parc, à l'extrémité duquel on aperçoit une partie du monastère, surmonté d'un clocher en dehors. Sur le portail attenant au mur de clôture, on lit : COUVENT DES URSULINES. Le reste de la scène est orné de groupes d'arbres, de gazons, de fleurs, de berceaux, etc. etc.	9	narration
Sa tête tombe sur sa poitrine; il sort à pas lents par le fond du théâtre. Otbert, qui est entré depuis quelques instants, le suit des yeux. Le mendiant s'enfonce sous les arcades de la galerie. Tout à coup le visage d'Otbert s'éclaire d'une expression de joie et de surprise. Régina apparaît au fond du théâtre, du côté opposé à celui par lequel le mendiant est sorti. Régina radieuse de bonheur et de santé.	9	narration
Thérèse. restée seule, demeure un instant immobile, regardant autour d'elle, respirant enfin. Jeu muet. Elle descend la scène, s'étire dans un geste de lassitude et d'ennui. Puis, elle entend Laurent entrer par la petite porte, à gauche, et elle sourit, frémissante d'une joie subite. - Pendant cette scène, la nuit se fait de plus en plus.	9	narration
Pendant qu'il songe, les yeux baissés, Maximienne a détaché l'agrafe qui retenait sur l'épaule droite son manteau blanc, de la même blancheur que la tunique ; elle le jette sur le dossier de la bancelle, et apparaît les bras nus et couverts de bracelets, le cou un peu dévêtu et ceint d'un collier, d'où pendent sur sa poitrine deux petites bulles d'argent, pareilles à des grelots. Toute riante, les mains en avant, elle s'approche de Théodat, qui sursaute, lui échappe et vient s'appuyer contre la bancelle, où elle le rejoint, suppliante.	9	narration
Le ciel s'éclaircit, l'orage cesse, et la mer s'apaise.	9	narration
Il se met dans le confessionnal ; Girolamo va ouvrir la porte à droite ; entre Loretta couverte d'un voile. Elle s'approche, du confessionnal, s'agenouille et commence sa prière. Girolamo est sorti.	9	narration
Cette scène est encore italienne et étrangère au sujet de la pièce : elle consiste en jeux de théâtre et lazzis italiens entre Pierrot et Pasquariel, qui sont amoureux l'un et l'autre de Marinette. Leur rivalité et leurs querelles font l'objet de cette scène.	9	narration
Il frappe de nouveau des mains.	9	narration
Ici il se fait un grand tintamarre de Trompettes et de Tambours, ils tournent derrière le théâtre du côté du Château, et l'on entend que le bruit.	9	narration
Melpomène qui préside à la tragédie et Euterpe qui a inventé l'Harmonie pastorale s'avancent sur deux nuages. Melpomène paraît au milieu de plusieurs trophées d'armes ; et Euterpe environnée de festons et de couronnes de fleurs. Elles sont précédées de deux symphonies opposées, dont l'une est très forte, et l'autre extrêmement douce, et qui forment une espèce de combat, tandis que les deux muses viennent se placer aux deux côtés de Polymnie pour la prier d'embellir les divertissements qu'elles veulent préparer.	9	narration
Dans cette obscurité soudaine, l'Envie sort de son antre qui s'ouvre au milieu du théâtre : elle évoque le monstrueux Serpent Python, qui paraît dans son marais bourbeux, jettant des feux par la gueule et par les yeux, qui sont la seule lumière qui éclaire le théâtre : elle appelle les Vents les plus impétueux pour seconder sa fureur, elle en fait sortir quatre de ceux qui sont renfermez dans les cavernes souterraines, et elle en fait descendre quatre autres de ceux qui forment les orages, qui tous après avoir volé et s'être croisés dans l'air, viennent se ranger autour d'elle, pour l'aider à troubler les beaux jours que le Soleil donne au monde.	9	narration
Le Ciel s'ouvre.	9	narration
Bruit de cloches au loin.	9	narration
Aussitôt il fait comme s'il relevait ses cheveux sous son chapeau et, prenant sa secousse, il est prêt à se précipiter dans la gueule de l'animal, quand il s'arrête tout d'un coup et dit à Léandre :	9	narration
La pesant.	10	object
Alphonse lui donne la rose qu'il tient à la main.	10	object
Ils se jettent à genoux,	10	object
Elles présentent des Lys et des Lauriers.	10	object
Il met la perruque, puis, la robe de chambre du côté qui n'est pas noir.	10	object
Il ajuste son col.	10	object
Elle laisse tomber la plume.	10	object
Prenant une lettre ouverte.	10	object
Le Démon donne à Aristandre la robe qu'il a apportée.	10	object
Il remet une lettre à Arétaphile.	10	object
Il se met l'habit.	10	object
Ils remplissent leurs poches.	10	object
Elle tire de son doigt une petite bague.	10	object
Déchirant la requête.	10	object
Elle laisse l'épée à la main de Théodat.	10	object
Il ôte le paletot et le jette à terre. Il en fait ensuite autant de la perruque.	10	object
Il lui donne un livre.	10	object
Il lui met un bracelet.	10	object
Le Marquis est en frac fort simple. Lépine et les Laquais ont des habits gris galonnés en argent, et des chapeaux avec des plumets blancs.	10	object
Il ôte ses gants.	10	object
Elle approche de l'armoire.	11	setting
Le théâtre représente une campagne et la maison de Pantalon.	11	setting
Cette scène est dans une salle préparée pour un bal, où il y a compagnie, et des violons.	11	setting
On apporte un fauteuil au Parterre.	11	setting
Le théâtre change et représente les rivages du Nil et l'un des embranchements par où ce fleuve entre dans la mer.	11	setting
Cette présentation et la suivante ont lieu au fond du théâtre. Georges seul descend la scène.	11	setting
Claudine et Lucas sont dans le fond du Théâtre.	11	setting
Le Théâtre représente un salon à manger. L'action se passe sur les sept heures du soir.	11	setting
Le Théâtre représente un endroit du Palais de Mélisse, borné de la mer.	11	setting
Le Théâtre représente une vue de Rome, on apperçoit le pont Sublicius et une des principales portes. Dans l'intervalle qui sépare la Tibre des murs de la ville est un tombeau élevé à Brutus, Le camp de Porsenna se distingue dans le lointain.	11	setting
La scène change.	11	setting
Le théâtre représente un palais.	11	setting
Le théâtre représente un des carrefours de la Foire.	11	setting
Le Théâtre représente une prison.	11	setting
La scène se passe sur la terrasse, qui est derrière l'église d'Uzès. Au fond le pavillon de Racine ; à droite, la boutique de Courtès ; à gauche, la maison de Georges.	11	setting
Il s'avance pour traverser les flammes.	11	setting
La scène représente l'appartement de Florville, aussi dénué que celui de Béverley, avec de vieux tableaux.	11	setting
Revenant sur le devant de la scène.	11	setting
Ils se promènent de long en large sur le Théâtre, en attendant que les Comédiens arrivent.	11	setting
C'est une grande salle aux baies romanes, étroites, hautes et profondes. Les murs sont tendus de tapis et le plafond, de toiles peintes : sur les tapis d'un sombre jaune, des lions rouges dardent leurs langues, ainsi que des flammes, et le bleu des toiles peintes est semé d'étoiles d'or, comme un firmament, et de croix d'or, comme un paradis. Tout autour, le long des murs, s'applique un banc recouvert d'une draperie pourpre, et en quatre endroits ce banc est coupé : par le lit de bronze, incliné de la tête aux pieds ; il est bas et large, porte un seul coussin ; au-dessus pend une lampe d'argile rouge ; — par la haute cheminée où flambent d'énormes bûches de hêtres et des troncs résineux de sapin ; — par le bahut peint où se voient représentées, en des couleurs vives, des scènes de l'Evangile - par un orgue emboîté dans la muraille, et qui fait face à la cheminée. Les briques du pavage sont de forme octogone. Devant le lit, il y a un escabeau avec une marche pour s'agenouiller, et, devant le feu, une large bancelle à dossier. Vêtu de la robe verte épiscopale, à demi-cachée par la dalmatique blanche brodée d'or, l'évêque est à genoux, la tête dans ses mains qui s'appuient à l'escabeau. Les clercs, en tunique noire, prient également, agenouillés devant le banc circulaire. Le jour s'achève ; Paulin, sur un signe de l'évêque, allume la lampe d'argile, car il n'est pas bon que les hommes assemblés restent dans les ténèbres ; mais l'âtre éclaire la grande salle bien plus que la petite lampe ; à ses larges et momentanés flamboiements, les lions s'agitent, les étoiles luisent, les croix d'or du plafond resplendissent. On n'entend que le crépitement de la mèche dans l'huile de faines, le ronronnement du foyer, le murmure bas des voix lentes, priantes, le halètement contenu des poitrines sonnant sous les poings qui les martèlent.	11	setting
Au bijoutier.	12	toward
À Kerlonte.	12	toward
À Gaston.	12	toward
À Bérénice.	12	toward
À Mascarille.	12	toward
À Pigmalion.	12	toward
À Énée.	12	toward
Aux deux jeunes gens.	12	toward
À Alcipe.	12	toward
À Alceste.	12	toward
Au colonel.	12	toward
À Madame Germain.	12	toward
À tout le monde.	12	toward
À Sudmer.	12	toward
À Lisidan.	12	toward
À Blanche.	12	toward
À Anselme.	12	toward
À Brutus.	12	toward
Aux Villageois.	12	toward
À Hauteroche.	12	toward
