stgdir	labelStr
Dans cette obscurité soudaine, l'Envie sort de son antre qui s'ouvre au milieu du théâtre : elle évoque le monstrueux Serpent Python, qui paraît dans son marais bourbeux, jettant des feux par la gueule et par les yeux, qui sont la seule lumière qui éclaire le théâtre : elle appelle les Vents les plus impétueux pour seconder sa fureur, elle en fait sortir quatre de ceux qui sont renfermez dans les cavernes souterraines, et elle en fait descendre quatre autres de ceux qui forment les orages, qui tous après avoir volé et s'être croisés dans l'air, viennent se ranger autour d'elle, pour l'aider à troubler les beaux jours que le Soleil donne au monde.	narration
Le Ciel s'ouvre.	narration
Bruit de cloches au loin.	narration
Aussitôt il fait comme s'il relevait ses cheveux sous son chapeau et, prenant sa secousse, il est prêt à se précipiter dans la gueule de l'animal, quand il s'arrête tout d'un coup et dit à Léandre :	narration
La pesant.	object
Alphonse lui donne la rose qu'il tient à la main.	object
Ils se jettent à genoux,	object
Elles présentent des Lys et des Lauriers.	object
Il met la perruque, puis, la robe de chambre du côté qui n'est pas noir.	object
Il ajuste son col.	object
Elle laisse tomber la plume.	object
Prenant une lettre ouverte.	object
Le Démon donne à Aristandre la robe qu'il a apportée.	object
Il remet une lettre à Arétaphile.	object
Il se met l'habit.	object
Ils remplissent leurs poches.	object
Elle tire de son doigt une petite bague.	object
Déchirant la requête.	object
Elle laisse l'épée à la main de Théodat.	object
Il ôte le paletot et le jette à terre. Il en fait ensuite autant de la perruque.	object
Il lui donne un livre.	object
Il lui met un bracelet.	object
Le Marquis est en frac fort simple. Lépine et les Laquais ont des habits gris galonnés en argent, et des chapeaux avec des plumets blancs.	object
Il ôte ses gants.	object
Elle approche de l'armoire.	setting
Le théâtre représente une campagne et la maison de Pantalon.	setting
Cette scène est dans une salle préparée pour un bal, où il y a compagnie, et des violons.	setting
On apporte un fauteuil au Parterre.	setting
Le théâtre change et représente les rivages du Nil et l'un des embranchements par où ce fleuve entre dans la mer.	setting
Cette présentation et la suivante ont lieu au fond du théâtre. Georges seul descend la scène.	setting
Claudine et Lucas sont dans le fond du Théâtre.	setting
Le Théâtre représente un salon à manger. L'action se passe sur les sept heures du soir.	setting
Le Théâtre représente un endroit du Palais de Mélisse, borné de la mer.	setting
Le Théâtre représente une vue de Rome, on apperçoit le pont Sublicius et une des principales portes. Dans l'intervalle qui sépare la Tibre des murs de la ville est un tombeau élevé à Brutus, Le camp de Porsenna se distingue dans le lointain.	setting
La scène change.	setting
Le théâtre représente un palais.	setting
Le théâtre représente un des carrefours de la Foire.	setting
Le Théâtre représente une prison.	setting
La scène se passe sur la terrasse, qui est derrière l'église d'Uzès. Au fond le pavillon de Racine ; à droite, la boutique de Courtès ; à gauche, la maison de Georges.	setting
Il s'avance pour traverser les flammes.	setting
La scène représente l'appartement de Florville, aussi dénué que celui de Béverley, avec de vieux tableaux.	setting
Revenant sur le devant de la scène.	setting
Ils se promènent de long en large sur le Théâtre, en attendant que les Comédiens arrivent.	setting
C'est une grande salle aux baies romanes, étroites, hautes et profondes. Les murs sont tendus de tapis et le plafond, de toiles peintes : sur les tapis d'un sombre jaune, des lions rouges dardent leurs langues, ainsi que des flammes, et le bleu des toiles peintes est semé d'étoiles d'or, comme un firmament, et de croix d'or, comme un paradis. Tout autour, le long des murs, s'applique un banc recouvert d'une draperie pourpre, et en quatre endroits ce banc est coupé : par le lit de bronze, incliné de la tête aux pieds ; il est bas et large, porte un seul coussin ; au-dessus pend une lampe d'argile rouge ; — par la haute cheminée où flambent d'énormes bûches de hêtres et des troncs résineux de sapin ; — par le bahut peint où se voient représentées, en des couleurs vives, des scènes de l'Evangile - par un orgue emboîté dans la muraille, et qui fait face à la cheminée. Les briques du pavage sont de forme octogone. Devant le lit, il y a un escabeau avec une marche pour s'agenouiller, et, devant le feu, une large bancelle à dossier. Vêtu de la robe verte épiscopale, à demi-cachée par la dalmatique blanche brodée d'or, l'évêque est à genoux, la tête dans ses mains qui s'appuient à l'escabeau. Les clercs, en tunique noire, prient également, agenouillés devant le banc circulaire. Le jour s'achève ; Paulin, sur un signe de l'évêque, allume la lampe d'argile, car il n'est pas bon que les hommes assemblés restent dans les ténèbres ; mais l'âtre éclaire la grande salle bien plus que la petite lampe ; à ses larges et momentanés flamboiements, les lions s'agitent, les étoiles luisent, les croix d'or du plafond resplendissent. On n'entend que le crépitement de la mèche dans l'huile de faines, le ronronnement du foyer, le murmure bas des voix lentes, priantes, le halètement contenu des poitrines sonnant sous les poings qui les martèlent.	setting
Au bijoutier.	toward
À Kerlonte.	toward
À Gaston.	toward
À Bérénice.	toward
À Mascarille.	toward
À Pigmalion.	toward
À Énée.	toward
Aux deux jeunes gens.	toward
À Alcipe.	toward
À Alceste.	toward
Au colonel.	toward
À Madame Germain.	toward
À tout le monde.	toward
À Sudmer.	toward
À Lisidan.	toward
À Blanche.	toward
À Anselme.	toward
À Brutus.	toward
Aux Villageois.	toward
À Hauteroche.	toward
