	text	gold	goldStr	text2	sys	sysStr	cf_sents
23	AIR NOUVEAU : Musique d'Augusrte BLANGY.	8	music	AIR NOUVEAU : Musique d'Augusrte BLANGY.	8	music	0
24	Il la frappe	1	aggression	Il la frappe	1	aggression	0
25	Il lui donne le rouleau.	10	object	Il lui donne le rouleau.	10	object	0
26	Bobielle va jeter dans le vase quelque chose qu'elle porte dans son tablier.	10	object	Bobielle va jeter dans le vase quelque chose qu'elle porte dans son tablier.	0	action	0
27	Adonias sort.	5	exit	Adonias sort.	0	action	0
28	La Montagne s'en va.	5	exit	La Montagne s'en va.	5	exit	0
29	Il l'ôte à Liliane.	10	object	Il l'ôte à Liliane.	0	action	0
30	Il fait lever la toile.	11	setting	Il fait lever la toile.	7	movement	0
31	Le Docteur le prend par la manche. Arlequin veut s'échapper de ses mains, et son justaucorps reste au Docteur. Arlequin s'enfuit ; le Docteur le poursuit en parlant toujours ad libitum.	9	narration	Le Docteur le prend par la manche. Arlequin veut s'échapper de ses mains, et son justaucorps reste au Docteur. Arlequin s'enfuit ; le Docteur le poursuit en parlant toujours ad libitum.	6	interaction	0
32	Actor s'en va.	5	exit	Actor s'en va.	5	exit	0
33	Elle déchire la lettre.	10	object	Elle déchire la lettre.	0	action	0
34	Air nouveau de Couder.	8	music	Air nouveau de Couder.	8	music	0
35	À Poquelin.	12	toward	À Poquelin.	12	toward	0
36	Air : Je veux t'être un Chien, etc.	8	music	Air : Je veux t'être un Chien, etc.	3	delivery	0
37	Elle aperçoit Dorval et change de ton.	0	action	Elle aperçoit Dorval et change de ton.	6	interaction	0
38	À Lucinde.	12	toward	À Lucinde.	12	toward	0
39	Elle s'arrange la figure devant la glace.	10	object	Elle s'arrange la figure devant la glace.	0	action	0
40	Il tend l'oreille anxieusement.	0	action	Il tend l'oreille anxieusement.	0	action	0
41	Il lui donne deux lettres dont il lit l'inscription.	10	object	Il lui donne deux lettres dont il lit l'inscription.	10	object	0
42	À un tribun.	12	toward	À un tribun.	12	toward	0
43	Il rit beaucoup.	3	delivery	Il rit beaucoup.	3	delivery	0
44	Il prend une lettre dans sa poche et va la poser sur la bûche.	10	object	Il prend une lettre dans sa poche et va la poser sur la bûche.	0	action	0
45	AIR : Y a coups de pieds, etc.	8	music	AIR : Y a coups de pieds, etc.	1	aggression	0
46	AIR : Vaudeville des Visitandines.	8	music	AIR : Vaudeville des Visitandines.	8	music	0
47	À Ariarathe	12	toward	À Ariarathe	12	toward	0
48	Il s'adresse à Ragotin.	12	toward	Il s'adresse à Ragotin.	12	toward	0
49	Il est en prison.	11	setting	Il est en prison.	11	setting	0
50	PREMIER COUPLET.	8	music	PREMIER COUPLET.	9	narration	0
51	AIR : Evohe ! que ces déesses...	8	music	AIR : Evohe ! que ces déesses...	3	delivery	0
52	Il lui balsa la main.	6	interaction	Il lui balsa la main.	6	interaction	0
53	À Laurent.	12	toward	À Laurent.	12	toward	0
54	Air 107 : Faites boire à triple mesure.	8	music	Air 107 : Faites boire à triple mesure.	0	action	0
55	Montrant Jenneval.	0	action	Montrant Jenneval.	6	interaction	0
56	Air : Dis-moi donc, mon cher Hypolite.	8	music	Air : Dis-moi donc, mon cher Hypolite.	12	toward	0
57	Le mousse montre comment charger un mousquet. Le bosco bouge le canon. Molière trouve un chapeau avec une grande plume et s'en affuble.	9	narration	Le mousse montre comment charger un mousquet. Le bosco bouge le canon. Molière trouve un chapeau avec une grande plume et s'en affuble.	0	action	0
58	AIR. Un inconnu.	8	music	AIR. Un inconnu.	4	entrance	0
59	Les violons jouent un branle pendant que Polydas parle et que les conviés dansent.	8	music	Les violons jouent un branle pendant que Polydas parle et que les conviés dansent.	8	music	0
60	Don Carlos tire son épée.	0	action	Don Carlos tire son épée.	1	aggression	0
61	Il s'assied dans le fauteuil.	0	action	Il s'assied dans le fauteuil.	0	action	0
62	Valérian chante.	3	delivery	Valérian chante.	8	music	0
63	Il fait un mouvement pour se lever.	0	action	Il fait un mouvement pour se lever.	7	movement	0
64	Le théâtre représente un bocage dont les arbres sont couverts de frimas et de glaçons. On voit dans le lointain plusieurs cabanes de Sauvages dont les toits sont couverts de neige. Parmi ces cabanes, on en remarque une plus spacieuse et moins éloignée que les autres.	11	setting	Le théâtre représente un bocage dont les arbres sont couverts de frimas et de glaçons. On voit dans le lointain plusieurs cabanes de Sauvages dont les toits sont couverts de neige. Parmi ces cabanes, on en remarque une plus spacieuse et moins éloignée que les autres.	11	setting	0
65	Elle jette la rose par terre.	10	object	Elle jette la rose par terre.	1	aggression	0
66	Il met les tablettes sur le banc.	10	object	Il met les tablettes sur le banc.	10	object	0
67	Que Clarimand lit haut.	0	action	Que Clarimand lit haut.	8	music	0
68	Faisant sonner la bourse.	9	narration	Faisant sonner la bourse.	0	action	0
69	À Casimir.	12	toward	À Casimir.	12	toward	0
70	AIR. Lulli n'est plus à l'Opéra.	8	music	AIR. Lulli n'est plus à l'Opéra.	9	narration	0
71	À Monsieur le Bailli.	12	toward	À Monsieur le Bailli.	12	toward	0
72	La suite de Bacchus danse.	3	delivery	La suite de Bacchus danse.	8	music	0
73	À Félicio.	12	toward	À Félicio.	12	toward	0
74	Elle regarde du côté de la porte.	0	action	Elle regarde du côté de la porte.	7	movement	0
75	AIR : Ton, humeur est Catherine.	8	music	AIR : Ton, humeur est Catherine.	2	aparte	0
76	Au mendiant.	12	toward	Au mendiant.	2	aparte	0
77	Il quitte le balcon.	11	setting	Il quitte le balcon.	5	exit	0
78	À Benvoglio.	12	toward	À Benvoglio.	12	toward	0
79	Elle sort suivie des guerriers et des femmes sauvages.	5	exit	Elle sort suivie des guerriers et des femmes sauvages.	5	exit	0
80	Il se donne un coup.	1	aggression	Il se donne un coup.	1	aggression	0
81	DU COQ A L'ASNE.	8	music	DU COQ A L'ASNE.	0	action	0
82	Il lui présente une fressure de veau pendue au bout d'un bâton.	0	action	Il lui présente une fressure de veau pendue au bout d'un bâton.	0	action	0
83	AIR : tout comme il vous plaira	8	music	AIR : tout comme il vous plaira	2	aparte	0
84	AIR : Sans cesse à la Ville, à ta Cour.	8	music	AIR : Sans cesse à la Ville, à ta Cour.	9	narration	0
85	Il rentre dans le palais.	5	exit	Il rentre dans le palais.	4	entrance	0
86	Silence d'un instant.	3	delivery	Silence d'un instant.	3	delivery	0
87	Il est resté assis sur le remblai.	0	action	Il est resté assis sur le remblai.	0	action	0
88	Il s'en va.	7	movement	Il s'en va.	5	exit	0
89	Il les regarde toujours.	0	action	Il les regarde toujours.	6	interaction	0
90	Il lui présente un bouquet.	10	object	Il lui présente un bouquet.	6	interaction	0
91	Scanderberg sort.	5	exit	Scanderberg sort.	7	movement	0
92	Il lève sa canne.	1	aggression	Il lève sa canne.	0	action	0
93	Elle veut sortir.	5	exit	Elle veut sortir.	7	movement	0
94	Au sultan.	12	toward	Au sultan.	12	toward	0
95	Elle fait quelques pas pour sortir.	7	movement	Elle fait quelques pas pour sortir.	5	exit	0
96	On entend crier de loin Ruflaut et Jeannot.	3	delivery	On entend crier de loin Ruflaut et Jeannot.	9	narration	0
97	Il tire un pistolet qui rate.	1	aggression	Il tire un pistolet qui rate.	1	aggression	0
98	La Plume sort ; Madame Savon, et Thériaque entrent dans l'autre chambre.	5	exit	La Plume sort ; Madame Savon, et Thériaque entrent dans l'autre chambre.	5	exit	0
99	Air 211 : De Monsieur Gillier.	8	music	Air 211 : De Monsieur Gillier.	2	aparte	0
100	Elle remonte.	5	exit	Elle remonte.	7	movement	0
101	Cette scène est très divertissante, et jouée parfaitement par le Pédant, qui devient amoureux à son tour de Colombine. D'abord il lui donne un mouchoir pour cacher sa gorge ; mais incontinent il se laisse entraîner au pouvoir de l'amour. L'écolier survient qui voit le Pédant embrasser Colombine : il lui rend avec usure les coups de bâton ; ce qui finit la scène.	9	narration	Cette scène est très divertissante, et jouée parfaitement par le Pédant, qui devient amoureux à son tour de Colombine. D'abord il lui donne un mouchoir pour cacher sa gorge ; mais incontinent il se laisse entraîner au pouvoir de l'amour. L'écolier survient qui voit le Pédant embrasser Colombine : il lui rend avec usure les coups de bâton ; ce qui finit la scène.	9	narration	0
102	Elle sort avec vivacité les Paysans et les Paysannes la suivent.	5	exit	Elle sort avec vivacité les Paysans et les Paysannes la suivent.	5	exit	0
103	Elle recommence le combat.	1	aggression	Elle recommence le combat.	1	aggression	0
104	À Lafleur.	12	toward	À Lafleur.	12	toward	0
105	LETTRE DU GRAND VIZIR.	8	music	LETTRE DU GRAND VIZIR.	10	object	0
106	À Hurlubrelu.	12	toward	À Hurlubrelu.	4	entrance	0
107	Les Néréides se plongent aussi dans le mer.	5	exit	Les Néréides se plongent aussi dans le mer.	0	action	0
108	Ils pleurent.	3	delivery	Ils pleurent.	0	action	0
109	Au même instant, le jeune sauvage, armé de son arc et de ses flèches, sort de la maison de Monsieur de Kerkabon, et complète le tableau, en s'arrêtant avec admiration à quelque distance du groupe villageois, L'aimable et modeste Kerkabon se dérobe à cet hommage, pour courir au devant de l'Ingénu, qui lui baise la main avec respect, et prie le ciel d'exaucer ses voeux reconnaissants en faveur de sa bienfaitrice. Elle lui témoigne de nouveau le plus vif intérêt, et le voyant disposé à partir pour la chasse, l'invite à hâter son retour ; il le promet, et après avoir jeté un regard expressif sur l'habitation de mademoiselle de Saint-Yves, après avoir porté la main sur son coeur et poussé un profond soupir, il gagne le sommet de la troisième colline avec rapidité.	9	narration	Au même instant, le jeune sauvage, armé de son arc et de ses flèches, sort de la maison de Monsieur de Kerkabon, et complète le tableau, en s'arrêtant avec admiration à quelque distance du groupe villageois, L'aimable et modeste Kerkabon se dérobe à cet hommage, pour courir au devant de l'Ingénu, qui lui baise la main avec respect, et prie le ciel d'exaucer ses voeux reconnaissants en faveur de sa bienfaitrice. Elle lui témoigne de nouveau le plus vif intérêt, et le voyant disposé à partir pour la chasse, l'invite à hâter son retour ; il le promet, et après avoir jeté un regard expressif sur l'habitation de mademoiselle de Saint-Yves, après avoir porté la main sur son coeur et poussé un profond soupir, il gagne le sommet de la troisième colline avec rapidité.	9	narration	0
110	Les Turcs répètent les mêmes vers, et lui donnent plusieurs coups de bâton en cadence.	1	aggression	Les Turcs répètent les mêmes vers, et lui donnent plusieurs coups de bâton en cadence.	1	aggression	0
111	Symphonie.	8	music	Symphonie.	8	music	0
112	Aux Couplets.	12	toward	Aux Couplets.	8	music	0
113	"CHANSON, sur le chant de ""Las qui hâtera le temps""."	8	music	"CHANSON, sur le chant de ""Las qui hâtera le temps""."	8	music	0
114	Staphyla rentre.	5	exit	Staphyla rentre.	4	entrance	0
115	Air : Tout roule aujourd'hui.	8	music	Air : Tout roule aujourd'hui.	2	aparte	0
116	Il prend son chapeau.	10	object	Il prend son chapeau.	0	action	0
117	Elle se lève pour sortir.	0	action	Elle se lève pour sortir.	5	exit	0
118	À Nour.	12	toward	À Nour.	12	toward	0
119	Nicaise finit une chanson à une paysanne qui le fuit.	3	delivery	Nicaise finit une chanson à une paysanne qui le fuit.	8	music	0
120	Au jeune Arzémon.	12	toward	Au jeune Arzémon.	12	toward	0
121	Joséphine et Marthe sortent.	5	exit	Joséphine et Marthe sortent.	5	exit	0
122	Frontin s'en va.	7	movement	Frontin s'en va.	5	exit	0
123	En montrant la ville.	0	action	En montrant la ville.	11	setting	0
124	Alfonce et Marc Antoine les frappent chacun le sien.	1	aggression	Alfonce et Marc Antoine les frappent chacun le sien.	1	aggression	0
125	Il frappe trois fois.	0	action	Il frappe trois fois.	0	action	0
126	Tersky paraît avec Isolan, Buttler et d'autres officiers.	4	entrance	Tersky paraît avec Isolan, Buttler et d'autres officiers.	4	entrance	0
127	Apercevant Octave.	0	action	Apercevant Octave.	6	interaction	0
128	S'exaltant.	3	delivery	S'exaltant.	0	action	0
129	Il lui donne le billet de Julie.	10	object	Il lui donne le billet de Julie.	3	delivery	0
130	Ouvrant une autre lettre.	0	action	Ouvrant une autre lettre.	10	object	0
131	Le théâtre représente la Salle de L'Opéra Comique.	11	setting	Le théâtre représente la Salle de L'Opéra Comique.	11	setting	0
132	Ils sortent tous, à l'exception de Monsieur Léger et de Madame Lanoue.	5	exit	Ils sortent tous, à l'exception de Monsieur Léger et de Madame Lanoue.	5	exit	0
133	Il porte la fiole à sa bouche.	0	action	Il porte la fiole à sa bouche.	0	action	0
134	Elle ôte sa main.	7	movement	Elle ôte sa main.	7	movement	0
135	Il referme l'oeil—de—boeuf.	10	object	Il referme l'oeil—de—boeuf.	0	action	0
136	À Licandre et à Êliante.	12	toward	À Licandre et à Êliante.	12	toward	0
137	Il rentre. Le marchand se mêle aux curieux. - Passe un bourgeois avec sa femme.	4	entrance	Il rentre. Le marchand se mêle aux curieux. - Passe un bourgeois avec sa femme.	4	entrance	0
138	Le mauvais Ange disparaît.	5	exit	Le mauvais Ange disparaît.	5	exit	0
139	Avec humeur.	3	delivery	Avec humeur.	3	delivery	0
140	Ils se battent.	1	aggression	Ils se battent.	1	aggression	0
141	Le théâtre s'ouvre à l'agréable bruit de quantité d'instruments, et d'abord il offre aux yeux une vaste mer, bordée de chaque côté de quatre grands rochers, dont le sommet porte chacun un Fleuve, accoudé sur les marques de ces sortes de déités. Au pied de ces rochers sont douze Tritons de chaque côté, et dans le milieu de la mer quatre Amours montés sur des dauphins, et derrière eux le dieu Éole, élevé au-dessus des ondes sur un petit nuage. Éole commande aux vents de se retirer, et, tandis que les Amours, les Tritons, et les Fleuves lui répondent, la mer se calme, et du milieu des ondes on voit s'élever une île. Huit Pêcheurs sortent du fond de la mer avec des nacres de perles et des branches de corail, et, après une danse agréable, vont se placer chacun sur un rocher au-dessous d'un Fleuve. Le choeur de la musique annonce la venue de Neptune, et, tandis que ce dieu danse avec sa suite, les Pêcheurs, les Tritons et les Fleuves accompagnent ses pas de gestes différents et de bruit de conques de perles. Tout ce spectacle est une magnifique galanterie, dont l'un des princes régale sur la mer la promenade des princesses.	11	setting	Le théâtre s'ouvre à l'agréable bruit de quantité d'instruments, et d'abord il offre aux yeux une vaste mer, bordée de chaque côté de quatre grands rochers, dont le sommet porte chacun un Fleuve, accoudé sur les marques de ces sortes de déités. Au pied de ces rochers sont douze Tritons de chaque côté, et dans le milieu de la mer quatre Amours montés sur des dauphins, et derrière eux le dieu Éole, élevé au-dessus des ondes sur un petit nuage. Éole commande aux vents de se retirer, et, tandis que les Amours, les Tritons, et les Fleuves lui répondent, la mer se calme, et du milieu des ondes on voit s'élever une île. Huit Pêcheurs sortent du fond de la mer avec des nacres de perles et des branches de corail, et, après une danse agréable, vont se placer chacun sur un rocher au-dessous d'un Fleuve. Le choeur de la musique annonce la venue de Neptune, et, tandis que ce dieu danse avec sa suite, les Pêcheurs, les Tritons et les Fleuves accompagnent ses pas de gestes différents et de bruit de conques de perles. Tout ce spectacle est une magnifique galanterie, dont l'un des princes régale sur la mer la promenade des princesses.	11	setting	0
142	Elle se place devant lui.	11	setting	Elle se place devant lui.	7	movement	0
143	Elle le voit.	0	action	Elle le voit.	6	interaction	0
144	AIR. Nous autres bons villageois.	8	music	AIR. Nous autres bons villageois.	2	aparte	0
145	Elle s'approche de la cheminée.	11	setting	Elle s'approche de la cheminée.	7	movement	0
146	Dorante lit la lettre.	0	action	Dorante lit la lettre.	0	action	0
147	La scène représente sur le devant un lieu champêtre, et dans l'enfoncement un rocher percé à jour, à travers duquel on voit la mer en éloignement. Flore paraît au milieu du théâtre, accompagné de Vertumne Dieu des Arbres et des Fruits, et de Palamon Dieu des Eaux. Chacun de ces Dieux conduit une Troupe de Divinités ; l'un mène à sa suite des Dryades et des Sylvains ; et l'autre des Dieux, des Fleuves et des Naïades, Flore chante ce récit pour inviter Vénus à descendre en Terre.	11	setting	La scène représente sur le devant un lieu champêtre, et dans l'enfoncement un rocher percé à jour, à travers duquel on voit la mer en éloignement. Flore paraît au milieu du théâtre, accompagné de Vertumne Dieu des Arbres et des Fruits, et de Palamon Dieu des Eaux. Chacun de ces Dieux conduit une Troupe de Divinités ; l'un mène à sa suite des Dryades et des Sylvains ; et l'autre des Dieux, des Fleuves et des Naïades, Flore chante ce récit pour inviter Vénus à descendre en Terre.	11	setting	0
148	Il fait ses efforts pour l'ouvrir, mais inutilement.	0	action	Il fait ses efforts pour l'ouvrir, mais inutilement.	7	movement	0
149	AIR. Nous autres bons Villageois.	8	music	AIR. Nous autres bons Villageois.	2	aparte	0
150	Même air que le couplet précédent.	8	music	Même air que le couplet précédent.	8	music	0
151	Ici une Scène muette de Falaise qui voit le Chevalier avec Angélique, et le soupçonne. Il regarde ensuite Nérine, et feint d'en être charmé ; après quoi il se retire d'un côté et le Chevalier d'un autre.	9	narration	Ici une Scène muette de Falaise qui voit le Chevalier avec Angélique, et le soupçonne. Il regarde ensuite Nérine, et feint d'en être charmé ; après quoi il se retire d'un côté et le Chevalier d'un autre.	9	narration	0
152	Lascy s'en va.	5	exit	Lascy s'en va.	5	exit	0
153	La Scène représente les Charniers des Innocents. À droite est la boutique de Madame de L'Aiguille, Marchande Lingère, et à gauche, un tonneau qui sert de Bureau à Monsieur Discret, écrivain.	11	setting	La Scène représente les Charniers des Innocents. À droite est la boutique de Madame de L'Aiguille, Marchande Lingère, et à gauche, un tonneau qui sert de Bureau à Monsieur Discret, écrivain.	11	setting	0
154	À Philoxène.	12	toward	À Philoxène.	12	toward	0
155	Air : Dans quel canton est l'Huronie.	8	music	Air : Dans quel canton est l'Huronie.	2	aparte	0
156	AIR : Qu'a du vin.	8	music	AIR : Qu'a du vin.	3	delivery	0
157	Il dit à part.	2	aparte	Il dit à part.	2	aparte	0
158	Les Éthiopiens sortent.	5	exit	Les Éthiopiens sortent.	5	exit	0
159	À Éricie.	12	toward	À Éricie.	12	toward	0
160	Il sort par la droite. La scène demeure vide.	5	exit	Il sort par la droite. La scène demeure vide.	5	exit	0
161	Bis des deux vers.	8	music	Bis des deux vers.	7	movement	0
162	Il fait six pas.	7	movement	Il fait six pas.	7	movement	0
163	Il l'aide à déposer le plateau.	10	object	Il l'aide à déposer le plateau.	6	interaction	0
164	À Mademoiselle Beaulieu.	12	toward	À Mademoiselle Beaulieu.	12	toward	0
165	Il montre ses yeux pochés.	0	action	Il montre ses yeux pochés.	0	action	0
166	Air : Quand je tiens de ce jus d'Octobre.	8	music	Air : Quand je tiens de ce jus d'Octobre.	3	delivery	0
167	Air : Moi qui veux m'instruire.	8	music	Air : Moi qui veux m'instruire.	2	aparte	0
168	Elle regarde les fleurs.	0	action	Elle regarde les fleurs.	0	action	0
169	AIR : Du Grand Condé.	8	music	AIR : Du Grand Condé.	4	entrance	0
170	Ils sortent de la caverne.	4	entrance	Ils sortent de la caverne.	5	exit	0
171	AIR : Les filles de Nanterre,	8	music	AIR : Les filles de Nanterre,	8	music	0
172	Ils écoutent.	0	action	Ils écoutent.	6	interaction	0
173	À Guillaume.	12	toward	À Guillaume.	12	toward	0
174	SONNET.	8	music	SONNET.	3	delivery	0
175	Timagène rentre sur le théâtre.	4	entrance	Timagène rentre sur le théâtre.	4	entrance	0
176	Don César reçoit la main d'Isabelle.	6	interaction	Don César reçoit la main d'Isabelle.	6	interaction	0
177	Ils s'attablent.	0	action	Ils s'attablent.	6	interaction	0
178	AIR. Non, je ne serai pas.	8	music	AIR. Non, je ne serai pas.	2	aparte	0
179	Air : La béquille du Père Barnaba.	8	music	Air : La béquille du Père Barnaba.	10	object	0
180	Au Facteur en le payant.	12	toward	Au Facteur en le payant.	3	delivery	0
181	Elles s'asseyent.	0	action	Elles s'asseyent.	0	action	0
182	Le premier vers, à part.	2	aparte	Le premier vers, à part.	2	aparte	0
183	Mondor embrasse tendrement sa femme.	6	interaction	Mondor embrasse tendrement sa femme.	6	interaction	0
184	Marche de toutes sortes de Personnages de l'ancienne Comédie Française et Italienne.	8	music	Marche de toutes sortes de Personnages de l'ancienne Comédie Française et Italienne.	4	entrance	0
185	Julie rentre du côté de la maison.	5	exit	Julie rentre du côté de la maison.	4	entrance	0
186	Même décoration que le précédent.	11	setting	Même décoration que le précédent.	11	setting	0
187	Et malgré lui, elle lui replace le bras dans l'écharpe, après en avoir ré-assujetti rapidement le pansement. René, après la première révolte, se laisse faire.	6	interaction	Et malgré lui, elle lui replace le bras dans l'écharpe, après en avoir ré-assujetti rapidement le pansement. René, après la première révolte, se laisse faire.	6	interaction	0
188	En s'en allant.	5	exit	En s'en allant.	5	exit	0
189	En prison.	11	setting	En prison.	11	setting	0
190	Le Théâtre change, et représente le Palais de PLUTON.	11	setting	Le Théâtre change, et représente le Palais de PLUTON.	11	setting	0
191	D'un ton décidé.	3	delivery	D'un ton décidé.	3	delivery	0
192	En lui donnant la main droite.	6	interaction	En lui donnant la main droite.	6	interaction	0
193	Judith entre.	4	entrance	Judith entre.	4	entrance	0
194	Au Moineau.	12	toward	Au Moineau.	12	toward	0
195	Tous se lèvent de table.	0	action	Tous se lèvent de table.	7	movement	0
196	Il lui montrera alors sa main.	0	action	Il lui montrera alors sa main.	6	interaction	0
197	Il lui remet en main son roman.	10	object	Il lui remet en main son roman.	3	delivery	0
198	Valentin sort.	5	exit	Valentin sort.	5	exit	0
199	Avec un air grave	3	delivery	Avec un air grave	3	delivery	0
200	Almaviva et Léon la prennent sous les bras ; ils sortent tous.	5	exit	Almaviva et Léon la prennent sous les bras ; ils sortent tous.	5	exit	0
201	Air : De la béquille.	8	music	Air : De la béquille.	10	object	0
202	Il la choque un peu.	6	interaction	Il la choque un peu.	1	aggression	0
203	Ils la quittent.	5	exit	Ils la quittent.	5	exit	0
204	Ici l'actrice chante un morceau à son choix.	3	delivery	Ici l'actrice chante un morceau à son choix.	8	music	0
205	Après que Neptune eut été remercié par le sieur de Poutrincourt de ses offres au bieN de la France, les sauvages le furent semblablement de leur bonne volonté et dévotion, et incités de venir au Fort-Royal prendre du caracona. À l'instant la troupe de Neptune chante en musique à quatre parties ce qui s'enfuit.	9	narration	Après que Neptune eut été remercié par le sieur de Poutrincourt de ses offres au bieN de la France, les sauvages le furent semblablement de leur bonne volonté et dévotion, et incités de venir au Fort-Royal prendre du caracona. À l'instant la troupe de Neptune chante en musique à quatre parties ce qui s'enfuit.	9	narration	0
206	Montrant Cicéron.	0	action	Montrant Cicéron.	6	interaction	0
207	Les chasseurs se retirent.	5	exit	Les chasseurs se retirent.	5	exit	0
208	"Le maître d'armes, lui pousse deux ou trois bottes, en lui disant : ""En garde."""	1	aggression	"Le maître d'armes, lui pousse deux ou trois bottes, en lui disant : ""En garde."""	6	interaction	0
209	Ici Lisette en approchant de l'Olive qu'elle ne voit point, étend sa main, et le prend par le collet, et dans le même temps Angélique rencontre la main de Dorante, qu'elle prend.	9	narration	Ici Lisette en approchant de l'Olive qu'elle ne voit point, étend sa main, et le prend par le collet, et dans le même temps Angélique rencontre la main de Dorante, qu'elle prend.	6	interaction	0
210	Parthénice vient savoir finement en quel état est Floridan auprès de Célinde.	4	entrance	Parthénice vient savoir finement en quel état est Floridan auprès de Célinde.	4	entrance	0
211	Il la reprend.	10	object	Il la reprend.	6	interaction	0
212	Au grand bramine.	12	toward	Au grand bramine.	2	aparte	0
213	AIR : O gué lan la, lanlaire.	8	music	AIR : O gué lan la, lanlaire.	8	music	0
214	À Coucy.	12	toward	À Coucy.	11	setting	0
215	Air : Faut-il qu'une fi faible plante.	8	music	Air : Faut-il qu'une fi faible plante.	0	action	0
216	On entend chanter dans la rue.	3	delivery	On entend chanter dans la rue.	8	music	0
217	Air : Fanfare de Saint-Cloud.	8	music	Air : Fanfare de Saint-Cloud.	8	music	0
218	Damis, se lève.	0	action	Damis, se lève.	7	movement	0
219	À un voisin, qui somnole dans l'angle du compartiment.	12	toward	À un voisin, qui somnole dans l'angle du compartiment.	6	interaction	0
220	Clairville quitte Rosalie. Il est comme un fou. Il va, il vient, il s'arrête. Il soupire de douleur, de fureur. Il s'appuie les coudes sur le dos d'un fauteuil, la tête sur ses mains, et les poings dans les yeux. Le silence dure un moment. Enfin il dit :	9	narration	Clairville quitte Rosalie. Il est comme un fou. Il va, il vient, il s'arrête. Il soupire de douleur, de fureur. Il s'appuie les coudes sur le dos d'un fauteuil, la tête sur ses mains, et les poings dans les yeux. Le silence dure un moment. Enfin il dit :	7	movement	0
221	À Philotas.	12	toward	À Philotas.	12	toward	0
222	Montrant l'ilote, qui salue modestement.	0	action	Montrant l'ilote, qui salue modestement.	0	action	0
223	Il découvre son estomac.	0	action	Il découvre son estomac.	0	action	0
224	Toutes les jeunes filles rient, à l'exception de Justine.	3	delivery	Toutes les jeunes filles rient, à l'exception de Justine.	6	interaction	0
225	Il lui rend ses armes.	10	object	Il lui rend ses armes.	6	interaction	0
226	Le regardant.	0	action	Le regardant.	6	interaction	0
227	Le Laquais découvre une robe garnie de fleurs.	0	action	Le Laquais découvre une robe garnie de fleurs.	10	object	0
228	Air. Menuet de Monsieur Grandval.	8	music	Air. Menuet de Monsieur Grandval.	8	music	0
229	Cherchant une idée.	0	action	Cherchant une idée.	0	action	0
230	Au marquis.	12	toward	Au marquis.	12	toward	0
231	AIR du vaudeville de l'Avare.	8	music	AIR du vaudeville de l'Avare.	8	music	0
232	AIR : J'en jurerais presque sur sa laideur.	8	music	AIR : J'en jurerais presque sur sa laideur.	2	aparte	0
233	Fredonnant.	3	delivery	Fredonnant.	8	music	0
